id,category
100,hangers
101,kitchen_cabinet
102,fridges
104,desk
105,desk
106,office_chairs
107,desk
108,desk
109,coffee_table
110,tvs
111,tvs
112,tvs
113,tvs
114,tvs
115,tv_bench
116,tv_bench
117,tv_bench
118,hangers
119,coffee_table
120,computer
121,closets_wardrobes_cabinets
122,door
123,hangers
124,wall_lamp
125,kitchen_cabinet
126,windows
127,wall_lamp
128,stand
129,dresser
130,plants
131,kitchen_appliance
132,wash_basins
133,door
134,table_and_chair
135,shower
136,idk
137,kitchen_cabinet
138,kitchen_cabinet
139,shower
140,dresser
141,dressing_table
142,chair
143,music-piano
144,mirror
145,shoes_cabinet
146,stand
147,stand
148,toys
149,kitchenware
150,toilet
151,stair
152,stair
153,rug
154,kitchenware
155,sofa
156,sofa
157,sofa
166,armchair
167,sofa
168,sofa
169,sofa
170,sofa
171,coffee_table
172,coffee_table
173,coffee_table
174,coffee_table
175,wall_lamp
176,wall_lamp
178,wall_lamp
179,wall_lamp
180,wall_lamp
181,wash_basins
182,closets_wardrobes_cabinets
183,wash_basins
184,closets_wardrobes_cabinets
185,recreation-pool_table
186,wash_basins
187,closets_wardrobes_cabinets
188,shelves
189,computer
190,baby_bed
191,bookshelf
192,shelves
193,shelves
194,closets_wardrobes_cabinets
195,stand
196,armchair
197,stand
198,tv_bench
199,dressing_table
200,dressing_table
201,dressing_table
202,dressing_table
203,dressing_table
204,double_bed
205,double_bed
206,kitchen_appliance
207,shelves
208,hangers
209,windows
210,windows
211,windows
212,windows
213,windows
214,door
215,tvs
216,tvs
217,hangers
218,music
219,kitchen_appliance
220,kitchen_appliance
221,kitchen_appliance
222,kitchen_appliance
223,household_appliance-vacuuming
224,household_appliance-ironing
225,ac
226,household_appliance
227,ac
228,tvs
229,bathroom_stuff
230,heater
232,kitchen_cabinet
233,stand
235,rug
236,paintings
237,plants
238,rug
239,mirror
240,floor_lamps
241,kitchen_appliance
242,fireplaces
243,kitchenware
244,kitchenware
245,kitchenware
246,door
247,door
248,shelves
249,chair
250,hanging_kitchen_cabinet
251,hanging_kitchen_cabinet
252,dinning_table
253,stair
254,stair
255,chair
256,table_lamp
257,paintings
258,vases
259,sofa
260,sofa
261,sofa
262,sofa
263,household_appliance-ironing
264,kitchen_appliance
265,kitchenware
266,closets_wardrobes_cabinets
267,closets_wardrobes_cabinets
268,shelves
269,closets_wardrobes_cabinets
270,bunker_bed
271,closets_wardrobes_cabinets
272,closets_wardrobes_cabinets
273,desk
274,closets_wardrobes_cabinets
275,curtain
276,curtain
277,chair
278,music
279,switch
280,switch
281,kitchen_cabinet
282,kitchen_cabinet
283,kitchen_cabinet
284,kitchen_cabinet
285,kitchen_cabinet
286,hanging_kitchen_cabinet
287,hanging_kitchen_cabinet
288,kitchen_cabinet
289,kitchen_cabinet
290,kitchen_cabinet
291,kitchen_cabinet
292,shoes_cabinet
293,shelves
294,desk
295,kitchen_cabinet
311,stand
312,stand
313,clock
314,mirror
315,stand
316,trash_can
317,trash_can
318,stand
319,toys
320,toys
321,sofa
322,toys
323,people
324,people
325,people
326,door
327,door
328,partitions
329,partitions
330,partitions
331,door
333,people
334,fireplaces
335,office_chairs
336,chair
337,gym
338,gym
339,gym
340,toys
341,toys
342,toys
343,kitchen_appliance
344,kitchenware
345,toys
346,people
347,armchair
348,armchair
349,armchair
350,sofa
351,armchair
352,armchair
353,toys
354,idk
355,sofa
356,toys
357,toys
358,toys
359,toys
360,toys
361,door
362,idk
363,car
364,car
365,column
366,column
367,column
368,fences_gate
369,fences_gate
370,fences_gate
371,fences_gate
372,fences_gate
373,fences_gate
374,fences_gate
375,fences_gate
376,fences_gate
377,outdoor_lamp
378,outdoor_lamp
379,fences_gate
380,sofa
381,outdoor_rest
382,sofa
383,closets_wardrobes_cabinets
384,closets_wardrobes_cabinets
385,closets_wardrobes_cabinets
386,closets_wardrobes_cabinets
387,closets_wardrobes_cabinets
388,closets_wardrobes_cabinets
389,closets_wardrobes_cabinets
390,shelves
391,closets_wardrobes_cabinets
392,tv_bench
393,shelves
394,outdoor_lamp
395,kitchenware
396,stand
397,dresser
398,dresser
399,closets_wardrobes_cabinets
40,dinning_table
403,double_bed
404,stand
405,kitchen_cabinet
406,hanging_kitchen_cabinet
407,kitchen_cabinet
408,kitchen_cabinet
409,chair
41,coffee_table
410,recreation-basketball_hoop
411,outdoor_rest
412,outdoor_rest
413,recreation
414,chair
415,armchair
416,closets_wardrobes_cabinets
417,desk
418,toilet
419,table_lamp
42,closets_wardrobes_cabinets
420,sofa
421,table_lamp
422,table_lamp
423,table_lamp
424,desk
425,armchair
426,armchair
427,armchair
428,desk
429,chair
43,household_appliance-dryer
430,desk
431,dresser
432,gym
433,outdoor_rest
434,gym
435,gym
436,gym
437,gym
438,gym
439,gym
44,household_appliance
440,shelves
441,chair
442,dinning_table
443,toilet
444,toilet
445,shoes_cabinet
446,chair
447,wash_basins
448,shelves
449,armchair
45,hanging_kitchen_cabinet
450,chair
451,tv_bench
452,dinning_table
453,toilet
454,tv_bench
455,desk
456,shelves
457,shelves
458,shelves
459,shelves
46,hanging_kitchen_cabinet
460,toys
461,toys
462,toys
463,plants
464,dresser
465,bathtub
466,bench_chair
467,chair
468,coffee_table
469,dresser
470,coffee_table
471,chair
472,coffee_table
473,chair
474,chair
475,bench_chair
476,bench_chair
477,desk
478,ottoman
479,shoes_cabinet
480,dresser
481,closets_wardrobes_cabinets
482,closets_wardrobes_cabinets
483,stand
484,workplace
485,desk
486,desk
487,desk
488,stand
489,stand
490,stand
491,armchair
492,shelves
493,shelves
494,desk
495,tv_bench
496,chair
497,partitions
498,partitions
499,bathroom_stuff
500,chair
501,chair
502,partitions
503,closets_wardrobes_cabinets
504,dinning_table
505,shelves
506,desk
507,armchair
508,shelves
509,dresser
510,heater
511,armchair
512,closets_wardrobes_cabinets
513,stand
514,desk
515,table_lamp
516,office_chairs
517,floor_lamps
518,whitebroad
519,fireplaces
520,floor_lamps
521,floor_lamps
522,music,piano
523,floor_lamps
524,floor_lamps
525,dinning_table
526,hangers
527,hangers
528,kitchen_appliance
529,vases
530,kitchenware
531,candel
532,office_chairs
533,desk
534,stand
535,armchair
536,kitchenware
537,kitchen_appliance
538,kitchenware
539,kitchenware
540,toys
541,ottoman
542,coffee_table
543,coffee_table
544,ottoman
545,ottoman
546,coffee_table
547,ottoman
548,ottoman
549,coffee_table
550,coffee_table
551,coffee_table
552,coffee_table
553,ottoman
554,ottoman
555,coffee_table
556,coffee_table
557,ottoman
558,ottoman
559,ottoman
560,ottoman
561,coffee_table
562,pool
563,coffee_table
564,coffee_table
565,coffee_table
566,coffee_table
567,coffee_table
568,coffee_table
569,coffee_table
57,sofa
570,tv_bench
577,tv_bench
579,coffee_table
580,coffee_table
586,coffee_table
587,coffee_table
589,coffee_table
590,tv_bench
591,coffee_table
592,coffee_table
593,kitchen_cabinet
594,kitchen_cabinet
595,kitchen_cabinet
596,kitchen_cabinet
597,kitchen_cabinet
598,kitchen_cabinet
599,kitchen_cabinet
60,bathtub
600,kitchen_cabinet
601,kitchen_cabinet
602,kitchen_cabinet
603,kitchen_cabinet
604,kitchen_cabinet
605,bench_chair
606,closets_wardrobes_cabinets
607,shelves
